Price,Close,High,Low,Open,Volume
Ticker,2303.TW,2303.TW,2303.TW,2303.TW,2303.TW
Date,,,,,
2000-01-04,18.78260612487793,18.941108267833044,18.227844601515468,18.544852105841347,332630460
2000-01-05,18.703357696533203,18.782607971197105,18.22784639330191,18.386350161045677,292754299
2000-01-06,18.307100296020508,18.703358115038583,18.22784680116727,18.703358115038583,248928848
2000-01-07,17.752336502075195,17.9900905202899,17.276826856437967,17.831586768674885,269228882
2000-01-10,18.22784423828125,18.386347987285617,16.95982229228529,16.95982229228529,380487972
2000-01-11,17.59383201599121,18.703355012562735,17.435329880200815,18.54485126756459,286306727
2000-01-12,18.069339752197266,18.069339752197266,17.51458148093491,17.593831742996546,181892693
2000-01-13,17.59383201599121,18.06934003257015,17.59383201599121,17.910839505987504,162467818922
2000-01-14,17.831584930419922,18.148592400969708,17.593830936715232,17.831584930419922,201569289
2000-01-17,18.22784423828125,18.46560147099559,18.14859397298686,18.386347987285617,150538291
2000-01-18,17.831584930419922,18.227842659399503,17.752334671990127,18.227842659399503,118179571
2000-01-19,17.59383201599121,18.06934003257015,17.59383201599121,17.831586024280682,131704223
2000-01-20,17.59383201599121,17.673085497698036,17.197575871911347,17.59383201599121,161466136
2000-01-21,17.99009132385254,18.227845352686995,17.831587565157644,17.91084105371298,146733969027
2000-01-24,18.544851303100586,18.70335504840246,18.22784381249684,18.22784381249684,280150047
2000-01-25,18.62410545349121,18.703355719779164,18.307097951508144,18.544851968787633,165332179
2000-01-26,19.812875747680664,19.892129239652423,19.02036335687449,19.02036335687449,509931527
2000-01-27,19.812875747680664,20.28838543505551,19.57512170859722,20.28838543505551,294787896
2000-01-28,19.099613189697266,19.495870985164466,19.02036291797016,19.495870985164466,220776993
2000-01-31,19.416614532470703,19.416614532470703,18.782601296026336,18.86185315173281,123849502
2000-02-01,19.495868682861328,19.733625906797133,19.17886119655723,19.733625906797133,138152648
2000-02-02,19.495868682861328,19.495868682861328,19.495868682861328,19.495868682861328,0
2000-02-03,19.495868682861328,19.495868682861328,19.495868682861328,19.495868682861328,0
2000-02-04,19.495868682861328,19.495868682861328,19.495868682861328,19.495868682861328,0
2000-02-07,19.495868682861328,19.495868682861328,19.495868682861328,19.495868682861328,0
2000-02-08,19.495868682861328,19.495868682861328,19.495868682861328,19.495868682861328,0
2000-02-09,19.733627319335938,20.129881877956883,19.575120346422448,20.129881877956883,205640473
2000-02-10,19.337366104125977,19.654373609518963,19.020361817148647,19.654373609518963,142264579
2000-02-11,19.416614532470703,19.812868983380834,19.25811082105776,19.495864778969764,248857310
2000-02-14,19.416614532470703,19.971374304001188,19.33736106755682,19.57511502546883,231418814
2000-02-15,19.416614532470703,19.57511502546883,19.178857356143876,19.416614532470703,132398164
2000-02-16,19.337366104125977,19.654373609518963,19.178862351429483,19.49586985682247,96313793
2000-02-17,19.099613189697266,19.258116951567313,18.861859156100113,19.178863461424367,169811146
2000-02-18,18.703357696533203,19.337367939884317,18.624107421869304,19.258117665220418,168258311
2000-02-21,17.59383201599121,18.54485126756459,17.59383201599121,18.54485126756459,204879305
2000-02-22,17.752336502075195,17.9900905202899,17.197576589838278,17.276826856437967,220926964
2000-02-23,17.435335159301758,17.752341136073916,17.435335159301758,17.752341136073916,94785922
2000-02-24,17.6730899810791,17.752340264474956,17.43533430326706,17.593836479266926,96072827
2000-02-25,17.831584930419922,17.831584930419922,17.514580678285437,17.752334671990127,131295083
2000-02-28,17.831584930419922,17.831584930419922,17.831584930419922,17.831584930419922,0
2000-02-29,17.831584930419922,18.148592400969708,17.831584930419922,18.069338924124608,93814074
2000-03-01,18.069339752197266,18.22784349473599,17.990089490135627,18.14859323267435,103782874
2000-03-02,17.6730899810791,18.227848401682724,17.593836479266926,18.227848401682724,77321238
2000-03-03,17.6730899810791,17.752340264474956,17.514586195871072,17.593836479266926,54058051
2000-03-06,17.514589309692383,17.831593718050573,17.435337402998613,17.831593718050573,79299876
2000-03-07,17.276824951171875,17.593830810235087,17.11832443545173,17.356078427447226,89830876
2000-03-08,17.19757652282715,17.435330540115434,17.11832625653626,17.276826789118036,83254277
2000-03-09,17.6730899810791,17.6730899810791,17.27683051805903,17.27683051805903,89730328
2000-03-10,16.959821701049805,17.910839334299244,16.959821701049805,17.910839334299244,121241490
2000-03-13,15.850301742553711,16.246557918290858,15.850301742553711,16.167309257876035,197750221
2000-03-14,16.088056564331055,16.167310056283373,15.37479444725569,15.533294994328493,192705540
2000-03-15,15.691794395446777,16.167305559658665,15.533290674042815,16.0088018382547,168651829
2000-03-16,15.295541763305664,15.691799588752223,14.661528277066346,14.661528277066346,249527376
2000-03-17,15.533294677734375,15.533294677734373,15.137036881296918,15.295540643555071,322737936
2000-03-20,15.057784080505371,15.057784080505371,15.057784080505371,15.057784080505371,19713548
2000-03-21,16.088056564331055,16.088056564331055,14.582277229020047,14.582277229020047,307675855
2000-03-22,16.24655532836914,16.6428130501453,15.850299215800604,16.08805320518325,233479025
2000-03-23,17.356082916259766,17.356082916259766,16.6428175373858,16.801321312515135,250847711
2000-03-24,17.19757652282715,17.514582415614136,17.11832625653626,17.514582415614136,178769243
2000-03-27,18.386350631713867,18.386350631713867,17.435332828530328,17.435332828530328,197371979
2000-03-28,18.78260612487793,19.020361753122337,18.544852105841347,19.020361753122337,277777118920
2000-03-29,18.62410545349121,18.86185786156289,18.465601702499676,18.86185786156289,153859273
2000-03-30,19.178865432739258,19.654376767225216,18.703358925877563,18.703358925877563,344904162
2000-03-31,18.703357696533203,19.178864172140553,18.624107421869304,19.020363622812752,164745578225
2000-04-03,18.703357696533203,18.703357696533203,18.703357696533203,18.703357696533203,0
2000-04-04,18.703357696533203,18.703357696533203,18.703357696533203,18.703357696533203,0
2000-04-05,19.495868682861328,19.733625906797133,18.94110719103689,18.94110719103689,227783546
2000-04-06,18.544851303100586,19.733626174449135,18.544851303100586,19.49586894728857,219765704
2000-04-07,18.386350631713867,18.861860337909647,18.2278468599126,18.703358175316403,161019549
2000-04-10,18.94110679626465,19.4958682765267,18.307096664493745,18.307096664493745,292980520
2000-04-11,18.544851303100586,18.861857184496582,18.465601039657404,18.782605311845646,132788196
2000-04-12,17.910839080810547,18.544850827337125,17.910839080810547,18.386347086101622,145425077
2000-04-13,17.276824951171875,17.4353286853073,16.9598207013163,17.11832443545173,219826704
2000-04-14,16.24655532836914,16.880567039527943,16.16730668058763,16.325805585358275,238392897
2000-04-17,15.4540433883667,15.4540433883667,14.899283475402697,14.899283475402697,181554560
2000-04-18,16.24655532836914,16.405059060762653,15.850299215800604,16.16730668058763,182132143
2000-04-19,15.771050453186035,16.64281462712325,15.69179697027205,16.64281462712325,132531715
2000-04-20,16.00880241394043,16.088052668284785,15.374790723940178,15.771048432492227,92166119
2000-04-21,15.374794006347656,15.691798309818342,15.295540516668115,15.295540516668115,130066568
2000-04-24,14.740782737731934,15.374796265456359,14.740782737731934,15.374796265456359,103420654
2000-04-25,15.533294677734375,15.533294677734373,14.503026659888086,14.582276931809236,166989715
2000-04-26,14.82003402709961,15.771051762930329,14.661527048108052,15.69179827343455,135289884
2000-04-27,15.374794006347656,15.374794006347654,14.820034061462085,15.216287026988574,144450010
2000-04-28,16.405059814453125,16.405059814453125,15.454042204022732,15.533292464652826,256423426
2000-05-01,16.405059814453125,16.405059814453125,16.405059814453125,16.405059814453125,0
2000-05-02,16.959821701049805,17.19757570706023,16.80131795757103,17.11832544452858,206859407
2000-05-03,16.167312622070312,16.8805732431337,16.167312622070312,16.80132295702011,156718656
2000-05-04,15.850301742553711,16.642815703235883,15.612547715269848,16.32580818791356,147635366
2000-05-05,16.801321029663086,16.801321029663086,15.533295677599888,15.691799450060799,166880357
2000-05-08,16.880569458007812,17.118326699869193,16.642815434562138,16.72206570290546,186385049
2000-05-09,16.880569458007812,16.880569458007812,16.880569458007812,16.880569458007812,0
2000-05-10,20.085500717163086,20.770233110990816,20.085500717163086,20.42786771868084,272766688
2000-05-11,19.629013061523438,19.743136474815127,19.286646040064113,19.514889648231748,128542577
2000-05-12,20.541990280151367,20.541990280151367,19.743134512547094,20.085499890770883,137950184
2000-05-15,19.97138023376465,20.770236151166763,19.85725841962378,20.770236151166763,93891704
2000-05-16,21.11260414123535,21.22672756965693,20.085504549897763,20.427871616746323,164745727
2000-05-17,21.911455154418945,22.367943937569983,21.569088164753733,21.683208349031837,231459124
2000-05-18,21.797334671020508,21.797334671020508,21.340844217524435,21.569091053480413,116993148
2000-05-19,21.569087982177734,21.683208165489845,21.34084117872267,21.454964580450202,65075344
2000-05-22,20.656112670898438,21.340845163064834,20.656112670898438,21.112603144620053,88601490
2000-05-23,20.199623107910156,20.770232066395877,20.08549970700531,20.656108665491033,68995404
2000-05-24,19.857255935668945,19.971377735534254,19.514888926865197,19.629012335938324,78865786
2000-05-25,19.514888763427734,20.19962438450838,19.400768573725998,20.085500976391035,73734944
2000-05-26,19.743135452270508,19.857255641235888,19.286645041162235,19.4007684485432,76133555
2000-05-29,19.743135452270508,20.199624254170992,19.629012044889546,19.743135452270508,58958664
2000-05-30,19.743135452270508,19.743135452270508,19.743135452270508,19.743135452270508,0
2000-05-31,21.340843200683594,21.797333632428973,21.11260120322663,21.797333632428973,198036592
2000-06-01,20.770231246948242,21.340840182921735,20.770231246948242,21.22672161414231,63749675
2000-06-02,20.884357452392578,21.454966465115604,20.884357452392578,21.226724469234245,110559813
2000-06-05,20.998477935791016,21.112601349119913,20.770234327548973,20.998477935791016,56553474842
2000-06-06,20.998477935791016,20.998477935791016,20.998477935791016,20.998477935791016,0
2000-06-07,21.45496368408203,21.45496368408203,20.770231348362866,20.99847492386671,121034714287
2000-06-08,21.340843200683594,21.91145704496925,21.22672461576691,21.683210219888696,142517212
2000-06-09,21.569087982177734,21.683208165489845,21.454964580450202,21.683208165489845,104072826
2000-06-12,21.226722717285156,21.79733168291293,21.226722717285156,21.683208280579656,65053942
2000-06-13,20.998477935791016,21.22672476244881,20.88435774087787,20.998477935791016,63218332335
2000-06-14,20.998477935791016,21.340843348154085,20.88435774087787,21.22672476244881,86123795335
2000-06-15,20.656112670898438,20.998479721585642,20.541994075488063,20.88435951696726,77502341
2000-06-16,20.42786979675293,20.656111805636908,20.313746378499022,20.656111805636908,74023227
2000-06-19,20.085500717163086,20.54199112532528,19.971377310518644,20.42786771868084,56947143
2000-06-20,19.857255935668945,20.427868153411133,19.857255935668945,20.427868153411133,46836049
2000-06-21,19.857255935668945,20.199624553680508,19.857255935668945,20.08550114460738,68767075
2000-06-22,20.42786979675293,20.541993215006837,19.629013915015307,19.74313733326921,88438051
2000-06-23,19.97138023376465,20.427870708744155,19.97138023376465,20.19962708046242,54476304
2000-06-26,19.514888763427734,19.857255769364155,19.400768573725998,19.857255769364155,68591403
2000-06-27,19.514888763427734,19.743135579662418,19.400768573725998,19.629012171545074,48848735
2000-06-28,19.857255935668945,19.971377735534254,19.514888926865197,19.514888926865197,72286370
2000-06-29,19.286645889282227,20.08550173003928,19.058403892106853,20.08550173003928,88622171
2000-06-30,19.514888763427734,19.743135579662418,19.058403176997377,19.400768573725998,96281055
2000-07-03,19.172523498535156,19.62901230652007,18.716033081342427,19.514888897617983,66417868
2000-07-04,18.71603012084961,19.40076563832756,18.71603012084961,19.17252046583491,63559477
2000-07-05,19.629013061523438,19.85725666969107,18.48779180226953,18.944280627812667,118081376
2000-07-06,18.94428062438965,19.28664603657923,18.94428062438965,19.17252423251604,61066181
2000-07-07,18.373672485351562,19.05840829013857,18.373672485351562,18.830161412667998,84751403
2000-07-10,18.259544372558594,18.487791191602795,17.803058780509293,18.373667782080695,85542807
2000-07-11,18.259544372558594,18.6019146011249,18.03130077193003,18.259544372558594,55118668
2000-07-12,18.259544372558594,18.487791191602795,18.259544372558594,18.373667782080695,45241873
2000-07-13,18.71603012084961,18.944276902549817,18.487788166772077,18.487788166772077,97722181
2000-07-14,19.05840492248535,19.17252512263893,18.716034666776917,18.830158085346394,111560104
2000-07-17,18.94428062438965,19.4007694498503,18.83015721111858,19.4007694498503,64027648
2000-07-18,18.601917266845703,19.058406142727122,18.487793840969307,19.058406142727122,42788685
2000-07-19,18.601917266845703,19.058406142727122,18.487793840969307,19.058406142727122,42788685
2000-07-20,17.803058624267578,18.48779102935179,17.803058624267578,18.37366762083125,76273538
2000-07-21,17.574811935424805,18.031300745213375,17.118326344051873,17.80305875413082,104710478
2000-07-24,17.118324279785156,17.46068963893552,17.118324279785156,17.34656624334444,64678920
2000-07-25,16.661832809448242,17.346565091488642,16.661832809448242,16.8900763670592,71126283
2000-07-26,17.004201889038086,17.346567268420145,16.661834900448305,16.661834900448305,78795369
2000-07-27,17.004201889038086,17.004201889038086,16.43359292340132,17.004201889038086,70315841
2000-07-28,17.460693359375,17.460693359375,16.547715655359266,16.661837466059243,75142542
2000-07-31,17.118324279785156,17.34656624334444,17.004200884194073,17.34656624334444,30183169
2000-08-01,16.89008140563965,17.460693688304826,16.89008140563965,17.34657026624699,37343367
2000-08-02,16.775957107543945,17.11832407174105,16.775957107543945,16.89007728333284,57964991
