Price,Close,High,Low,Open,Volume
Ticker,2454.TW,2454.TW,2454.TW,2454.TW,2454.TW
Date,,,,,
2001-07-23,26.87542152404785,26.875421524047848,26.875421524047848,26.875421524047848,463095
2001-07-24,28.594629287719727,28.685704924731592,27.87329553014985,28.416116512273117,238341541
2001-07-25,30.587398529052734,30.587398529052734,28.594630145539192,28.594630145539192,94092605
2001-07-26,32.66759490966797,32.66759490966797,31.399801988231513,31.673031660298946,64114300
2001-07-27,32.5765266418457,34.02647677739485,32.39437254295134,33.48365580851464,60369077
2001-07-30,32.5765266418457,32.5765266418457,32.5765266418457,32.5765266418457,0
2001-07-31,34.8388786315918,34.8388786315918,32.394365550076415,32.57651960964972,77956786
2001-08-01,33.3925895690918,35.20320425474833,33.02827843948565,35.112128594333285,61392002
2001-08-02,34.38714599609375,34.56930010742961,33.30150398418174,33.30150398418174,61392002
2001-08-03,35.02104568481445,35.5638667379172,34.387148982790755,34.74781307942167,52895123
2001-08-06,36.10668182373047,36.10668182373047,34.38714329968647,34.656731702842016,48605439
2001-08-07,35.4727783203125,36.19775329743625,35.02103587202259,35.83344514520059,38953644
2001-08-08,36.10668182373047,36.10668182373047,35.02103989694716,35.47278239715528,35422904
2001-08-09,35.563865661621094,36.64950773497098,35.47278718614155,35.924532576651835,32073649
2001-08-10,35.20319366455078,35.654938989845746,34.92996393618619,35.563860527514564,24187224
2001-08-13,34.92995834350586,35.74600889952322,34.656725829574405,35.47277638559176,23774757
2001-08-14,35.4727783203125,35.4727783203125,33.93539407001075,35.11211432473859,27965449
2001-08-15,35.563865661621094,35.924532576651835,35.11212310042569,35.203198746590346,18742625
2001-08-16,34.47821807861328,35.56385997847637,34.47821807861328,35.2906274250155,26464060
2001-08-17,34.747802734375,34.747802734375,33.75323940250484,34.56929281804658,31694177
2001-08-20,36.37626647949219,37.01016301145041,34.3871397572076,34.3871397572076,70796311
2001-08-21,36.919090270996094,37.28339845603,36.01560529307654,36.64950187455327,44513739
2001-08-22,35.4727783203125,36.91908694721243,35.4727783203125,36.558420122324335,43045344
2001-08-23,35.290626525878906,36.10668000847987,34.747805589777386,35.746013160273186,41609948
2001-08-24,34.38714599609375,35.021042643060326,34.20498905544316,35.021042643060326,35785877
2001-08-27,34.92995834350586,35.02103396194033,34.38713747210594,34.838879895757366,22405355
2001-08-28,34.11391067504883,35.20319392754181,33.93539790609932,35.20319392754181,24649193
2001-08-29,34.656734466552734,35.381709584810295,33.66217092364122,33.935400676351605,77016358
2001-08-30,35.52008819580078,35.52008819580078,35.52008819580078,35.52008819580078,6212299
2001-08-31,36.66191101074219,37.2966560500022,36.282526427608346,36.66191101074219,46870035
2001-09-03,36.02716064453125,37.041292870316084,35.77545209683855,36.91726027213511,14385935
2001-09-04,37.04130172729492,37.04130172729492,36.40655668002819,36.6619114731979,19445003
2001-09-05,35.64777755737305,37.16897324402922,35.64777755737305,37.16897324402922,14478530
2001-09-06,34.378292083740234,35.52010328234982,33.998904690242014,35.52010328234982,14284920
2001-09-07,35.26474380493164,35.26474380493164,33.36416075317986,33.36416075317986,8535596
2001-09-10,35.392425537109375,35.52010718810878,34.378295863946654,34.88536211707247,7862178
2001-09-11,32.98476791381836,35.39241390399092,32.98476791381836,35.39241390399092,23317168
2001-09-12,32.98476791381836,32.98476791381836,32.98476791381836,32.98476791381836,0
2001-09-13,30.7011661529541,30.7011661529541,30.7011661529541,30.7011661529541,1346838
2001-09-14,28.669246673583984,29.811054896422938,28.669246673583984,28.669246673583984,32500935
2001-09-17,28.669246673583984,28.669246673583984,28.669246673583984,28.669246673583984,0
2001-09-18,28.669246673583984,28.669246673583984,28.669246673583984,28.669246673583984,0
2001-09-19,29.81106185913086,29.81106185913086,27.782799682473566,27.782799682473566,20640323
2001-09-20,28.79692268371582,29.431667606856497,28.79692268371582,28.79692268371582,11818520
2001-09-21,27.910472869873047,28.162181436058923,27.910472869873047,27.910472869873047,12534029
2001-09-24,29.55935287475586,29.811061488589875,28.16218676712712,28.289865583277063,19083039
2001-09-25,30.190448760986328,31.587612028233313,30.19044876098633,31.08054861783505,34066637
2001-09-26,32.22235870361328,32.22235870361328,30.445805086154387,31.208226165765875,26524331
2001-09-27,32.72941589355469,32.85709752416605,31.08054424573436,31.71528638232692,16069484
2001-09-28,31.966995239257812,33.23648235664367,31.459931895749648,32.98477377732807,20463550
2001-10-01,31.966995239257812,31.966995239257812,31.966995239257812,31.966995239257812,0
2001-10-02,30.066415786743164,31.966999090366652,29.81106099178765,31.966999090366652,13493653
2001-10-03,29.43167495727539,30.06641720585163,28.924608695658687,28.924608695658687,8990156
2001-10-04,30.318124771118164,31.459936074620504,30.19044878860673,31.459936074620504,17492086
2001-10-05,30.445798873901367,30.82518624352533,29.559348171905437,30.445798873901367,10177060
2001-10-08,30.190448760986328,30.31812474338096,29.811061332982693,29.811061332982693,7845341
2001-10-09,31.080549240112305,31.208225225063188,30.445804168433188,30.445804168433188,7550722
2001-10-10,31.080549240112305,31.0805492401123,31.0805492401123,31.0805492401123,0
2001-10-11,32.47406005859375,32.98477239872203,31.71528533439467,31.84296412769883,26566419
2001-10-12,32.22235870361328,33.1088095864833,31.71529243468958,32.984779783224774,24680844
2001-10-15,32.72941589355469,33.108803268189895,31.459931620369566,31.71528638232692,19714371
2001-10-16,32.72941589355469,32.85709752416605,32.222352554485035,32.60173992912024,7045655
2001-10-17,31.71527671813965,32.72940592034491,31.332243275376232,32.72940592034491,32930241
2001-10-18,32.35002517700195,32.601733706067876,31.20821425311286,31.332246842115246,12988589
2001-10-19,32.60174560546875,33.236487852577426,31.842970724086676,32.35003698453101,20766591
2001-10-22,34.633644104003906,34.633644104003906,32.98476980712809,33.10879957287437,28494086
2001-10-23,34.633644104003906,35.01303143629521,33.87122325498321,35.01303143629521,20581399
2001-10-24,35.392425537109375,35.647783172930374,34.378295863946654,34.63365349976765,23275079
2001-10-25,36.66191101074219,36.66191101074219,35.140715160607016,35.52010540991839,29159087
2001-10-26,39.20087814331055,39.20087814331055,37.42432513200344,37.42432513200344,61053947
2001-10-29,38.6901741027832,39.20088936224512,38.18311069483928,39.07321054737964,18089746
2001-10-30,36.917274475097656,38.18311573557474,36.7895984764659,37.8037282593227,21599946
2001-10-31,37.67604446411133,38.18311070528278,36.66191198176843,36.66191198176843,18603229
2001-11-01,40.087337493896484,40.21501630015459,38.81785030077043,39.07320791328664,32888152
2001-11-02,41.6085319519043,41.86388955626147,40.08733621304955,40.84975717496592,46482820
2001-11-05,42.1156005859375,43.764472389543485,41.6085343658717,41.99156796154102,35447148
2001-11-06,41.480857849121094,42.750345145506344,41.22914923431425,42.62266632886294,23232991
2001-11-07,41.863887786865234,42.49862991977536,40.722076651650276,41.991563750558974,20951779
2001-11-08,40.849769592285156,41.73622344086215,40.72209075129536,41.73622344086215,13089601
2001-11-09,41.3568115234375,42.498619546875915,39.95964596876141,40.59439077983391,28283641
